iso_time,state,rms,peak,baseline,threshold
2026-03-09T13:03:47,NORMAL,6.5,32,6.762588265643009,54.10070612514407
2026-03-09T13:03:48,NORMAL,9.9,184,6.825336500330149,54.60269200264119
2026-03-09T13:03:49,NORMAL,5.6,159,6.800829770323546,54.406638162588365
2026-03-09T13:03:50,NORMAL,3.2,17,6.728813174917074,53.830505399336595
2026-03-09T13:03:51,NORMAL,6.0,24,6.714236911418733,53.713895291349864
2026-03-09T13:03:52,NORMAL,4.1,13,6.661952173190358,53.29561738552287
2026-03-09T13:03:53,NORMAL,4.3,15,6.614713129726551,52.91770503781241
2026-03-09T13:03:54,NORMAL,4.6,21,6.57441886713202,52.59535093705616
2026-03-09T13:03:55,NORMAL,3.2,12,6.506930489789379,52.055443918315035
2026-03-09T13:03:56,NORMAL,3.8,10,6.452791879993591,51.62233503994873
2026-03-09T13:03:57,NORMAL,5.2,55,6.427736042393719,51.42188833914975
2026-03-09T13:03:58,NORMAL,25.5,470,6.427736042393719,51.42188833914975
2026-03-09T13:03:59,NORMAL,4.1,20,6.381181321545845,51.04945057236676
2026-03-09T13:04:00,NORMAL,17.0,240,6.593557695114928,52.748461560919424
2026-03-09T13:04:01,NORMAL,18.9,314,6.83968654121263,54.71749232970104
2026-03-09T13:04:02,NORMAL,16.7,120,7.036892810388377,56.295142483107014
2026-03-09T13:04:03,NORMAL,14.1,92,7.178154954180609,57.425239633444875
2026-03-09T13:04:04,NORMAL,19.5,105,7.424591855096996,59.39673484077597
2026-03-09T13:04:05,NORMAL,17.0,533,7.616100017995056,60.92880014396045
2026-03-09T13:04:06,NORMAL,12.9,95,7.721778017635155,61.77422414108124
2026-03-09T13:04:07,NORMAL,28.7,747,7.721778017635155,61.77422414108124
2026-03-09T13:04:08,NORMAL,19.4,77,7.955342457282452,63.642739658259615
2026-03-09T13:04:09,NORMAL,39.5,72,7.955342457282452,63.642739658259615
2026-03-09T13:04:10,NORMAL,14.5,102,8.086235608136802,64.68988486509441
2026-03-09T13:04:11,NORMAL,21.2,143,8.348510895974066,66.78808716779253
